time_id,location_id,energy_id,scope_id,usage_amount,co2_emissions_t,benchmark_value_t,target_value_t,data_quality,category_name,calculation_method
202301,LOC001,ENG001,SC002,48500,22.4,24.3,21.8,実測,電力使用,実測値
202301,LOC002,ENG001,SC002,178000,82.2,87.8,78.5,実測,電力使用,実測値
202301,LOC002,ENG002,SC001,11800,26.3,28.5,25.1,実測,都市ガス使用,実測値
202301,LOC002,ENG003,SC001,8100,21.9,23.8,20.9,実測,重油A使用,実測値
202301,LOC002,ENG006,SC001,0.11,2.5,2.8,2.3,実測,SF6ガス使用,実測値
202301,LOC002,ENG008,SC003,1067440,485.2,520,460,推定,購入製品・サービス,調達金額×排出原単位
202301,LOC002,ENG009,SC004,27475,78.5,82,75,推定,資本財,固定資産取得額×排出原単位
202301,LOC002,ENG010,SC005,28770,68.5,72,63,推定,輸送・配送(上流),物流費×排出原単位
202301,LOC002,ENG011,SC006,106960,38.2,42,35,推定,廃棄物,廃棄物量×処理別排出原単位
202301,LOC002,ENG012,SC007,12025,18.5,22,15,推定,出張,交通費×排出原単位
202301,LOC002,ENG013,SC008,5,38.5,41,36,推定,通勤,従業員数×通勤距離×排出原単位
202301,LOC003,ENG001,SC002,135000,62.4,68.5,59.8,実測,電力使用,実測値
202301,LOC003,ENG002,SC001,8900,19.8,21.5,18.8,実測,都市ガス使用,実測値
202301,LOC003,ENG008,SC003,716760,325.8,350,310,推定,購入製品・サービス,調達金額×排出原単位
202301,LOC003,ENG010,SC005,20370,48.5,52,44,推定,輸送・配送(上流),物流費×排出原単位
202301,LOC004,ENG001,SC002,27000,12.5,13.8,11.9,実測,電力使用,実測値
202301,LOC005,ENG001,SC002,9200,4.2,4.6,3.9,実測,電力使用,実測値
202302,LOC001,ENG001,SC002,45200,20.9,24.3,21.8,実測,電力使用,実測値
202302,LOC002,ENG001,SC002,171000,79,87.8,78.5,実測,電力使用,実測値
202302,LOC002,ENG002,SC001,11300,25.2,28.5,25.1,実測,都市ガス使用,実測値
202302,LOC002,ENG003,SC001,7800,21.1,23.8,20.9,実測,重油A使用,実測値
202302,LOC002,ENG006,SC001,0.1,2.3,2.8,2.3,実測,SF6ガス使用,実測値
202302,LOC002,ENG008,SC003,1009580,458.9,520,460,推定,購入製品・サービス,調達金額×排出原単位
202302,LOC002,ENG009,SC004,29820,85.2,82,75,推定,資本財,固定資産取得額×排出原単位
202302,LOC002,ENG010,SC005,27216,64.8,72,63,推定,輸送・配送(上流),物流費×排出原単位
202302,LOC002,ENG011,SC006,99400,35.5,42,35,推定,廃棄物,廃棄物量×処理別排出原単位
202302,LOC002,ENG012,SC007,9880,15.2,22,15,推定,出張,交通費×排出原単位
202302,LOC002,ENG013,SC008,5,38.5,41,36,推定,通勤,従業員数×通勤距離×排出原単位
202302,LOC003,ENG001,SC002,128000,59.1,68.5,59.8,実測,電力使用,実測値
202302,LOC003,ENG002,SC001,8500,18.9,21.5,18.8,実測,都市ガス使用,実測値
202302,LOC003,ENG008,SC003,687500,312.5,350,310,推定,購入製品・サービス,調達金額×排出原単位
